"Adverbs: inte heller — When do you use 'inte heller'?","Use 'inte heller' after a negation to agree with it ('… neither / … not either'); not 'inte också'.<br><i>Hon kommer inte. Han kommer inte heller.</i>"
"Adverbs: också / inte heller — Where does 'inte heller' go in a full main clause?","In Box 4 (Same position as 'inte').<br><i>Jag är inte heller trött</i>"
"Adverbs: också / inte heller — What is the short reply for “I don’t either / me neither”?","Use the fixed phrase 'Inte jag heller.' (no verb).<br><i>– Jag har ingen katt. – Inte jag heller.</i>"
"Adverbs: också / inte heller — What happens after 'inte heller' if the first clause had 'ingen/inget/inga'?","Switch to 'någon'/'något'/'några' (avoid the negative forms).<br><i>Vi har inga äpplen. De har inte heller några äpplen.</i>"
"Translate: Anna doesn’t like sports. Alex doesn't like sports either.","Anna gillar inte sport. Alex gillar inte heller sport."
"Translate: I have no cat. I don’t either.","Jag har ingen katt. Inte jag heller."
"Translate: I’m tired. Me too.","Jag är trött. Jag också."
"Translate: He isn’t coming. She isn’t comng either.","Han kommer inte. Hon kommer inte heller."
"Translate: We have no apples. They don’t have any apples either.","Vi har inga äpplen. De har inte heller några äpplen."
"Conjunctions: What do coordinating conjunctions do, and do they change word order?","They join same-type units (words, phrases, main clauses) and keep normal word order.<br><i>Jag lagar mat och han diskar.</i>"
"Conjunctions: What does 'eller' mean and how is it used?","Alternative/choice ('or').<br><i>Vi lagar mat eller beställer pizza.</i>"
"Conjunctions: What does 'men' mean and how is it used?","Contrast ('but').<br><i>Hon vill resa men hon har inte tid.</i>"
"Conjunctions: What does 'för' mean and how is it used?","Reason/cause ('for/because', slightly formal).<br><i>Jag går hem, för jag är trött.</i>"
"Conjunctions: What does 'så' mean?","Consequence/result ('so').<br><i>Det regnade, så vi stannade hemma.</i>"
"Conjunctions: When may you drop the subject after 'och/men' in clause 2?","Only when the subject would come right after the conjunction and is the same as in clause 1.<br><i>Anna gick hem och somnade direkt.</i>"
"Conjunctions: When must you keep the subject after 'och/men'?","1) If any other element is in Box 1, the subject must be in box 3.<br><i>… och i dag somnade hon direkt.</i><br>2) If the subject changes in clause 2, you must state it.<br><i>Anna gick hem men Peter stannade kvar.</i>"
"Translate: We study English and Swedish.","Vi studerar engelska och svenska."
"Translate: Do you want tea or coffee?","Vill du ha te eller kaffe?"
"Translate: He is kind but tired.","Han är snäll men trött."
"Translate: I’m leaving, because I’m cold.","Jag går, för jag fryser."
"Translate: It’s late, so we’re going home.","Det är sent, så vi går hem."
"Translate: Anna went home but Peter stayed.","Anna gick hem och Peter stannade kvar."
"Nouns (indefinite, no article): Explain article use when stating someone’s job/religion/political view.","No article for the label; if an adjective is added, use ‘en/ett’.<br><i>‘Petra’ är ‘läkare’. / ‘Petra’ är ‘en duktig läkare’.</i>"
"Nouns (indefinite, no article): Explain article use after a possessive or a genitive (e.g., ‘Anna’s’).","Keep the noun without an article after genitives/possessives.<br><i>‘Annas vänner’ ger henne råd.</i>"
"Nouns (indefinite, no article): Explain article use after ‘nästa’ and ‘samma’.","Keep the noun without an article after ‘nästa’/‘samma’.<br><i>‘Nästa sommar’ gör vi ‘samma sak’.</i>"
"Nouns (indefinite, no article): Explain article use with substances and uncountables.","No article with substances/uncountables.<br><i>Jag gillar ‘öl’.</i>"
"Nouns (indefinite, no article): Explain article use after ‘ingen/inget/inga’, ‘någon/något/några’, ‘flera’, and numbers.","No article after these quantifiers; often none after numbers.<br><i>Hon har ‘några relationer’, ‘ett par dejter’.</i>"
"Nouns (indefinite with article): Explain when to use ‘en/ett’ for new information.","Use ‘en/ett’ to introduce new/first-mentioned items.<br><i>‘Anna’ lånade ‘en hund’.</i>"
"Nouns (indefinite with article): Explain ‘en/ett’ when identity is unimportant (‘any’).","Use ‘en/ett’ when any instance is fine, not a specific one.<br><i>Jag vill ha ‘en frukt’.</i>"
"Nouns (definite): Explain the second-mention rule.","Use the definite on second mention of a referent.<br><i>… lämnade tillbaka ‘hunden’.</i>"
"Nouns (definite): Explain the part/association rule after a mentioned whole.","Make parts/associated items definite once the whole is mentioned.<br><i>‘Trädgården’ är jättestor.</i>"
"Nouns (definite): Explain use with unique/well-known referents.","Use the definite for unique/known entities.<br><i>‘Statsministern’ … ‘slottet’.</i>"
"Nouns (definite): Explain body parts/possessions vs possessives.","Prefer definite form instead of possessive + noun for body parts/owned items.<br><i>Ont i ‘huvudet’; tog ‘bilen’.</i>"
"Nouns (definite): Explain what follows demonstratives.","Demonstratives take a definite noun.<br><i>‘den där blomman’</i>"
"Nouns (definite): Explain use after ordinals.","After ordinals, the noun is often definite.<br><i>‘första gången’</i>"
"Translate: She is a doctor.","Hon är läkare."
"Translate: Anna’s friends give her advice.","Annas vänner ger henne råd."
"Translate: Next summer we’ll do the same thing.","Nästa sommar ska vi göra samma sak."
"Translate: I like beer.","Jag gillar öl."
"Translate: She has a few relationships.","Hon har några relationer."
"Translate: Anna borrowed a dog.","Anna lånade en hund."
"Translate: I’d like a fruit.","Jag skulle vilja ha en frukt."
"Translate: She returned the dog.","Hon lämnade tillbaka hunden."
"Translate: Awad bought a house. The garden is very large.","Awad har köpt ett hus. Trädgården är jättestor."
"Translate: The prime minister and the king meet at the castle.","Statsministern och kungen träffas på slottet."
"Translate: I have a headache.","Jag har ont i huvudet."
"Translate: Look at that flower!","Titta på den där blomman!"
"Translate: It’s the first time we meet.","Det är första gången vi träffas."
"Translate: We often go to the pub.","Vi går ofta på krogen."
"Translate: I’m going to the dentist tomorrow.","Jag ska gå till tandläkaren i morgon."